Sentence		Correct		Wrong	Total
are You Okay		2		6	8
Good Morning		0		9	9
How are You		10		1	11
how Old are You		2		6	8
I Like You		0		6	6
I'm Fine		1		8	9
let's Eat		2		3	5
Nice to Meet You	0		9	9
what are you Doing	2		3	5
Where are you from	0		5	5
			19		56	75

Sentence		Correct		Wrong	Total
are You Okay		0		8	8
Good Morning		0		9	9
How are You		8		3	11
how Old are You		2		6	8
I Like You		1		5	6
I'm Fine		0		9	9
let's Eat		4		1	5
Nice to Meet You	0		9	9
what are you Doing	3		2	5
Where are you from	3		2	5
			21		54	75

Sentence		Correct		Wrong	Total
are You Okay		0		8	8
Good Morning		0		9	9
How are You		0		11	11
how Old are You		0		8	8
I Like You		0		6	6
I'm Fine		0		9	9
let's Eat		0		5	5
Nice to Meet You	0		9	9
what are you Doing	0		5	5
Where are you from	0		5	5
			0		75	75

Sentence		Correct		Wrong	Total
are You Okay		0		0	8
Good Morning		0		0	9
How are You		0		0	11
how Old are You		0		0	8
I Like You		0		0	6
I'm Fine		0		0	9
let's Eat		0		0	5
Nice to Meet You	0		0	9
what are you Doing	0		0	5
Where are you from	0		0	5
			0		75	75
